YM,GRADE_CD,GRADE_NM,AGING,EFF_CNT,MAU,DAU
202511,PT,Platinum,신규 유입(0~2M),25,14,1
202511,PT,Platinum,안정화(6~11M),81,23,5
202511,PT,Platinum,온보딩(3~5M),18,3,1
202511,PT,Platinum,장기 유지(13M~),1754,997,415
202511,PT,Platinum,하락가망(12M),14,5,2
202511,SP,S-Platinum,안정화(6~11M),3,1,1
202511,SP,S-Platinum,온보딩(3~5M),4,1,1
202511,SP,S-Platinum,장기 유지(13M~),103,71,41
202511,SV,Silver,신규 유입(0~2M),1002,631,212
202511,SV,Silver,안정화(6~11M),2501,1555,602
202511,SV,Silver,온보딩(3~5M),754,454,186
202511,SV,Silver,장기 유지(13M~),11398,9038,4442
202511,SV,Silver,하락가망(12M),286,209,89
202512,BK,Black,신규 유입(0~2M),7003,5006,1801
202512,BK,Black,안정화(6~11M),7296,4196,1311
202512,BK,Black,온보딩(3~5M),2967,1861,679
202512,BK,Black,장기 유지(13M~),19511,15719,6926
202512,BK,Black,하락가망(12M),510,375,145
202512,GD,Gold,신규 유입(0~2M),222,141,44
202512,GD,Gold,안정화(6~11M),876,471,187
202512,GD,Gold,온보딩(3~5M),276,134,48
202512,GD,Gold,장기 유지(13M~),5156,3816,1978
202512,GD,Gold,하락가망(12M),172,107,48
202512,PT,Platinum,신규 유입(0~2M),25,14,1
202512,PT,Platinum,안정화(6~11M),81,23,5
202512,PT,Platinum,온보딩(3~5M),18,3,1
202512,PT,Platinum,장기 유지(13M~),1754,997,415
202512,PT,Platinum,하락가망(12M),14,5,2
202512,SP,S-Platinum,안정화(6~11M),3,1,1
202512,SP,S-Platinum,온보딩(3~5M),4,1,1
202512,SP,S-Platinum,장기 유지(13M~),102,70,40
202512,SV,Silver,신규 유입(0~2M),1000,629,210
202512,SV,Silver,안정화(6~11M),2495,1550,599
202512,SV,Silver,온보딩(3~5M),753,454,186
202512,SV,Silver,장기 유지(13M~),11367,9008,4423
202512,SV,Silver,하락가망(12M),284,207,89
202601,BK,Black,신규 유입(0~2M),7548,5178,1743
202601,BK,Black,안정화(6~11M),6531,3733,1152
202601,BK,Black,온보딩(3~5M),3021,1879,629
202601,BK,Black,장기 유지(13M~),19814,15853,6689
202601,BK,Black,하락가망(12M),544,400,155
202601,GD,Gold,신규 유입(0~2M),207,130,36
202601,GD,Gold,안정화(6~11M),721,373,138
202601,GD,Gold,온보딩(3~5M),263,146,45
202601,GD,Gold,장기 유지(13M~),5266,3846,1896
202601,GD,Gold,하락가망(12M),113,62,28
202601,PT,Platinum,신규 유입(0~2M),44,25,7
202601,PT,Platinum,안정화(6~11M),191,72,29
202601,PT,Platinum,온보딩(3~5M),68,29,10
202601,PT,Platinum,장기 유지(13M~),1418,852,391
202601,PT,Platinum,하락가망(12M),36,18,8
202601,SP,S-Platinum,안정화(6~11M),21,14,9
202601,SP,S-Platinum,온보딩(3~5M),4,4,3
202601,SP,S-Platinum,장기 유지(13M~),143,105,67
202601,SP,S-Platinum,하락가망(12M),2,1,1
202601,SV,Silver,신규 유입(0~2M),1147,718,248
202601,SV,Silver,안정화(6~11M),2268,1385,516
202601,SV,Silver,온보딩(3~5M),837,488,181
202601,SV,Silver,장기 유지(13M~),11464,8988,4256
202601,SV,Silver,하락가망(12M),221,160,61
202602,BK,Black,신규 유입(0~2M),7162,4869,1631
202602,BK,Black,안정화(6~11M),5849,3206,958
202602,BK,Black,온보딩(3~5M),4050,2308,690
202602,BK,Black,장기 유지(13M~),20017,15650,6349
202602,BK,Black,하락가망(12M),424,298,111
202602,GD,Gold,신규 유입(0~2M),201,118,36
202602,GD,Gold,안정화(6~11M),764,373,132
202602,GD,Gold,온보딩(3~5M),316,163,55
202602,GD,Gold,장기 유지(13M~),5288,3758,1854
202602,GD,Gold,하락가망(12M),71,42,15
202602,PT,Platinum,신규 유입(0~2M),43,24,4
202602,PT,Platinum,안정화(6~11M),181,76,28
202602,PT,Platinum,온보딩(3~5M),56,26,8
202602,PT,Platinum,장기 유지(13M~),1452,874,371
202602,PT,Platinum,하락가망(12M),35,12,4
202602,SP,S-Platinum,안정화(6~11M),18,13,6
202602,SP,S-Platinum,온보딩(3~5M),4,4,3
202602,SP,S-Platinum,장기 유지(13M~),144,112,68
202602,SP,S-Platinum,하락가망(12M),3,2,1
202602,SV,Silver,신규 유입(0~2M),1036,661,212
