CURR_STD_YM,GRAD_STATUS,GRAD_MOVEMENT,CURR_GRAD_GB,CURR_NLINE_MEM_GRAD_CD,CURR_NLINE_MEM_GRAD_NM,PREV_GRAD_GB,PREV_NLINE_MEM_GRAD_CD,PREV_NLINE_MEM_GRAD_NM,CUST_CNT,MAU,DAU
202511,유입,하락,VIP,BK,Black,VIP,SV,Silver,2051,1518,612
202511,유입,하락,VIP,SV,Silver,VIP,GD,Gold,724,509,213
202511,유입,하락,일반,PP,Purple,VIP,BK,Black,4630,3469,1167
202511,유입,하락,일반,PP,Purple,VIP,GD,Gold,15,8,2
202511,유입,하락,일반,PP,Purple,VIP,SV,Silver,213,119,31
202511,유입,하락,일반,RD,Red,VIP,BK,Black,1147,400,76
202511,유입,하락,일반,RD,Red,VIP,GD,Gold,12,4,1
202511,유입,하락,일반,RD,Red,VIP,SV,Silver,104,43,7
202511,유입,하락,일반,RD,Red,일반,PP,Purple,15461,8615,2112
202511,유지,-,VIP,BK,Black,VIP,BK,Black,29839,20935,8048
202511,유지,-,VIP,GD,Gold,VIP,GD,Gold,5745,3994,1912
202511,유지,-,VIP,PT,Platinum,VIP,PT,Platinum,1876,1028,407
202511,유지,-,VIP,SP,S-Platinum,VIP,SP,S-Platinum,109,73,40
202511,유지,-,VIP,SV,Silver,VIP,SV,Silver,12648,9324,4218
202511,유지,-,일반,PP,Purple,일반,PP,Purple,117551,69854,20194
202511,유지,-,일반,RD,Red,일반,RD,Red,3463222,492931,68840
202512,유입,승급,VIP,BK,Black,일반,PP,Purple,4676,3969,1771
202512,유입,승급,VIP,BK,Black,일반,RD,Red,1500,1068,312
202512,유입,승급,VIP,GD,Gold,VIP,BK,Black,32,25,11
202512,유입,승급,VIP,GD,Gold,VIP,SV,Silver,846,604,312
202512,유입,승급,VIP,GD,Gold,일반,PP,Purple,25,20,9
202512,유입,승급,VIP,GD,Gold,일반,RD,Red,50,44,9
202512,유입,승급,VIP,PT,Platinum,일반,RD,Red,12,10,1
202512,유입,승급,VIP,SV,Silver,VIP,BK,Black,2161,1777,884
202512,유입,승급,VIP,SV,Silver,일반,PP,Purple,302,199,77
202512,유입,승급,VIP,SV,Silver,일반,RD,Red,254,175,44
202512,유입,승급,일반,PP,Purple,일반,RD,Red,17525,14282,4287
202512,유입,하락,VIP,BK,Black,VIP,GD,Gold,46,27,9
202512,유입,하락,VIP,BK,Black,VIP,SV,Silver,2209,1686,670
202512,유입,하락,VIP,SV,Silver,VIP,GD,Gold,782,553,241
202512,유입,하락,일반,PP,Purple,VIP,BK,Black,4940,3825,1333
202512,유입,하락,일반,PP,Purple,VIP,GD,Gold,12,8,2
202512,유입,하락,일반,PP,Purple,VIP,SV,Silver,252,147,43
202512,유입,하락,일반,RD,Red,VIP,BK,Black,1327,547,110
202512,유입,하락,일반,RD,Red,VIP,GD,Gold,13,6,1
202512,유입,하락,일반,RD,Red,VIP,SV,Silver,160,69,13
202512,유입,하락,일반,RD,Red,일반,PP,Purple,16636,9563,2406
202512,유지,-,VIP,BK,Black,VIP,BK,Black,28908,20450,8118
202512,유지,-,VIP,GD,Gold,VIP,GD,Gold,5758,3985,1968
202512,유지,-,VIP,PT,Platinum,VIP,PT,Platinum,1880,1032,422
202512,유지,-,VIP,SP,S-Platinum,VIP,SP,S-Platinum,109,72,40
202512,유지,-,VIP,SV,Silver,VIP,SV,Silver,12428,9170,4277
202512,유지,-,일반,PP,Purple,일반,PP,Purple,116509,70123,20636
202512,유지,-,일반,RD,Red,일반,RD,Red,3508875,514405,73227
202501,이탈,승급,VIP,BK,Black,VIP,GD,Gold,29,23,9
202501,이탈,승급,VIP,BK,Black,VIP,PT,Platinum,2,2,1
202501,이탈,승급,VIP,BK,Black,VIP,SV,Silver,1967,1619,768
202501,이탈,승급,VIP,GD,Gold,VIP,PT,Platinum,834,550,274
202501,이탈,승급,VIP,GD,Gold,VIP,SP,S-Platinum,23,18,12
